approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	Augmenting Hidden Markov Model Phrase-Dependent Word Tagging	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	paper describes refinements currently investigated model part-of-speech assignment words unrestricted text.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	model advantage pre-tagged training corpus required.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	Words represented equivalence classes reduce number parameters required provide essentially vocabulary-independent model.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	State chains used model selective higher-order conditioning model, obviates proliferation parameters attendant uniformly higher-order models.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	structure state chains based analysis errors linguistic knowledge.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	Examples show word dependency across phrases modeled.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	"determination part-of-speech categories words important problem language modeling, syntactic semantic roles words depend part-of-speech category (henceforth simply termed ""category"")."	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	Application areas include speech recognition/synthesis information retrieval.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	Several workers addressed problem tagging text.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	Methods ranged locally-operating rules (Greene Rubin, 1971), statistical methods (Church, 1989; DeRose, 1988; Garside, Leech Sampson, 1987; Jelinek, 1985) back-propagation (Benello, Mackie Anderson, 1989; Nakamura Shikano, 1989).	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	statistical methods described terms Markov models.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	States model represent categories {cl...c=} (n number different categories used).	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	first order model, Ci Ci_l random variables denoting categories words position (i - 1) text.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	transition probability P(Ci = cz ] Ci_~ = %) linking two states cz cy, represents probability category cx following category %.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	word position represented random variable Wi, ranges vocabulary {w~ ...wv} (v number words vocabulary).	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	State-dependent probabilities form P(Wi = Wa ] Ci = cz) represent probability word Wa seen, given category c~.	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	"instance, word ""dog"" seen states noun verb, nonzero probability states."	0
approach similar spirit iterative computational approaches Hidden Markov Models (Kupiec, 1989	word sequence considered generated underlying sequence categories.	0
