Nine combination methods originally suggested Van Halteren et al.	Improving Data Driven Wordclass Tagging System Combination	0
Nine combination methods originally suggested Van Halteren et al.	paper examine differences modelling different data driven systems performing NLP task exploited yield higher accuracy best individual system.	0
Nine combination methods originally suggested Van Halteren et al.	means experiment involving task morpho-syntactic wordclass tagging.	0
Nine combination methods originally suggested Van Halteren et al.	Four well-known tagger generators (Hidden Markov Model, Memory-Based, Transformation Rules Maximum Entropy) trained corpus data.	0
Nine combination methods originally suggested Van Halteren et al.	comparison, outputs combined using several voting strategies second stage classifiers.	0
Nine combination methods originally suggested Van Halteren et al.	combination taggers outperform best component, best combination showing 19.1% lower error rate best individual tagger.	0
Nine combination methods originally suggested Van Halteren et al.	Natural Language Processing (NLP) systems, find one language models used predict, classify and/or interpret language related observations.	0
Nine combination methods originally suggested Van Halteren et al.	Traditionally, models categorized either rule-based/symbolic corpus-based/probabilistic.	0
Nine combination methods originally suggested Van Halteren et al.	Recent work (e.g. Brill 1992) demonstrated clearly categorization fact mix-up two distinct Categorization systems: one hand representation used language model (rules, Markov model, neural net, case base, etc.) hand manner model constructed (hand crafted vs. data driven).	0
Nine combination methods originally suggested Van Halteren et al.	Data driven methods appear popular.	0
Nine combination methods originally suggested Van Halteren et al.	explained fact that, general, hand crafting explicit model rather difficult, especially since modelled, natural language, (yet) well- understood.	0
Nine combination methods originally suggested Van Halteren et al.	data driven method used, model automatically learned implicit structure annotated training corpus.	0
Nine combination methods originally suggested Van Halteren et al.	much easier quickly lead model produces results 'reasonably' good quality.	0
Nine combination methods originally suggested Van Halteren et al.	Obviously, 'reasonably good quality' ultimate goal.	0
Nine combination methods originally suggested Van Halteren et al.	Unfortunately, quality reached given task limited, merely potential learning method used.	0
Nine combination methods originally suggested Van Halteren et al.	limiting factors power hard- software used implement learning method availability training material.	0
Nine combination methods originally suggested Van Halteren et al.	limitations, find tasks (at point time) faced ceiling quality reached (then) available machine learning system.	0
Nine combination methods originally suggested Van Halteren et al.	However, fact given system cannot go beyond ceiling mean machine learning whole similarly limited.	0
Nine combination methods originally suggested Van Halteren et al.	potential loophole type learning method brings 'inductive bias' task therefore different methods tend produce different errors.	0
Nine combination methods originally suggested Van Halteren et al.	paper, concerned question whether differences models indeed exploited yield data driven model superior performance.	0
Nine combination methods originally suggested Van Halteren et al.	machine learning literature approach known ensemble, stacked, combined classifiers.	0
Nine combination methods originally suggested Van Halteren et al.	shown that, errors uncorrelated sufficient degree, resulting combined classifier often perform better individual systems (Ali Pazzani 1996; Chan Stolfo 1995; Tumer Gosh 1996).	0
Nine combination methods originally suggested Van Halteren et al.	underlying assumption twofold.	0
Nine combination methods originally suggested Van Halteren et al.	First, combined votes make system robust quirks learner's particular bias.	0
Nine combination methods originally suggested Van Halteren et al.	Also, use information individual method's behaviour principle even admits possibility fix collective errors.	0
Nine combination methods originally suggested Van Halteren et al.	execute investigation means experiment.	0
Nine combination methods originally suggested Van Halteren et al.	NLP task used experiment morpho-syntactic wordclass tagging.	0
Nine combination methods originally suggested Van Halteren et al.	reasons choice several.	0
Nine combination methods originally suggested Van Halteren et al.	First all, tagging widely researched well-understood task (cf.	0
Nine combination methods originally suggested Van Halteren et al.	van Halteren (ed.)	0
Nine combination methods originally suggested Van Halteren et al.	1998).	0
Nine combination methods originally suggested Van Halteren et al.	Second, current performance levels task still leave room improvement: 'state art' performance data driven automatic wordclass taggers (tagging English text single tags low detail tagset) 9697% correctly tagged words.	0
Nine combination methods originally suggested Van Halteren et al.	Finally, number rather different methods available generate fully functional tagging system annotated text.	0
Nine combination methods originally suggested Van Halteren et al.	Component taggers 1992, van Halteren combined number taggers way straightforward majority vote (cf.	0
Nine combination methods originally suggested Van Halteren et al.	van Halteren 1996).	0
Nine combination methods originally suggested Van Halteren et al.	Since component taggers used n-gram statistics model context probabilities knowledge representation hence fundamentally component, results limited.	0
Nine combination methods originally suggested Van Halteren et al.	varied systems available, variety hope lead better combination effects.	0
Nine combination methods originally suggested Van Halteren et al.	experiment selected four systems, primarily basis availability.	0
Nine combination methods originally suggested Van Halteren et al.	uses different features text tagged, completely different representation language model.	0
Nine combination methods originally suggested Van Halteren et al.	first oldest system uses traditional trig-ram model (Steetskamp 1995; henceforth tagger T, Trigrams), based context statistics P(ti[ti-l,ti-2) lexical statistics P(tilwi) directly estimated relative corpus frequencies.	0
Nine combination methods originally suggested Van Halteren et al.	Viterbi algorithm used determine probable tag sequence.	0
Nine combination methods originally suggested Van Halteren et al.	Since model facilities handling unknown words, Memory-Based system (see below) used propose distributions potential tags words lexicon.	0
Nine combination methods originally suggested Van Halteren et al.	second system Transformation Based Learning system described Brill (19941; henceforth tagger R, Rules).	0
Nine combination methods originally suggested Van Halteren et al.	1 Brill's system available collection C programs Perl scripts ftp ://ftp.	0
Nine combination methods originally suggested Van Halteren et al.	cs.	0
Nine combination methods originally suggested Van Halteren et al.	j hu.	0
Nine combination methods originally suggested Van Halteren et al.	edu/pub/brill/Programs/ RULE_BASED_TAGGER_V.	0
Nine combination methods originally suggested Van Halteren et al.	I. 14.	0
Nine combination methods originally suggested Van Halteren et al.	tar.	0
Nine combination methods originally suggested Van Halteren et al.	Z. system starts basic corpus annotation (each word tagged likely tag) searches space transformation rules order reduce discrepancy current annotation correct one (in case 528 rules learned).	0
Nine combination methods originally suggested Van Halteren et al.	tagging rules applied sequence new text.	0
Nine combination methods originally suggested Van Halteren et al.	four systems, one access information: contextual information (the words tags window spanning three positions focus word) well lexical information (the existence words formed suffix/prefix addition/deletion).	0
Nine combination methods originally suggested Van Halteren et al.	However, actual use information severely limited individual information items combined according patterns laid rule templates.	0
Nine combination methods originally suggested Van Halteren et al.	third system uses Memory-Based Learning described Daelemans et al. (1996; henceforth tagger M, Memory).	0
Nine combination methods originally suggested Van Halteren et al.	training phase, cases containing information word, context correct tag stored memory.	0
Nine combination methods originally suggested Van Halteren et al.	tagging, case similar focus word retrieved memory, indexed basis Information Gain feature, accompanying tag selected.	0
Nine combination methods originally suggested Van Halteren et al.	system used access information focus word two positions after, least known words.	0
Nine combination methods originally suggested Van Halteren et al.	unknown words, single position after, three suffix letters, information capitalization presence hyphen digit used.	0
Nine combination methods originally suggested Van Halteren et al.	fourth final system MXPOST system described Ratnaparkhi (19962; henceforth tagger E, Entropy).	0
Nine combination methods originally suggested Van Halteren et al.	uses number word context features rather similar system M, trains Maximum Entropy model assigns weighting parameter feature-value combination features relevant estimation probability P(tag[features).	0
Nine combination methods originally suggested Van Halteren et al.	beam search used find highest probability tag sequence.	0
Nine combination methods originally suggested Van Halteren et al.	system Brill's system used default settings suggested documentation.	0
Nine combination methods originally suggested Van Halteren et al.	2Ratnaparkhi's Java implementation system available ftp://ftp.cis.upenn.edu/ pub/adwait/jmx/	0
Nine combination methods originally suggested Van Halteren et al.	data use experiment consists tagged LOB corpus (Johansson 1986).	0
Nine combination methods originally suggested Van Halteren et al.	corpus comprises one million words, divided 500 samples 2000 words 15 text types.	0
Nine combination methods originally suggested Van Halteren et al.	tagging, manually checked corrected, generally accepted quite accurate.	0
Nine combination methods originally suggested Van Halteren et al.	use slight adaptation tagset.	0
Nine combination methods originally suggested Van Halteren et al.	"changes mainly cosmetic, e.g. non-alphabetic characters ""$"" tag names replaced."	0
Nine combination methods originally suggested Van Halteren et al.	"However, also retokenization: genitive markers split negative marker ""n't"" reattached."	0
Nine combination methods originally suggested Van Halteren et al.	example sentence tagged resulting tagset is: ATI singular plural article Lord NPT singular titular noun Major NPT singular titular noun extended VBD past tense verb singular article invitation NN singular common noun preposition ABN pre-quantifier ATI singular plural article parliamentary JJ adjective candidates NNS plural common noun SPER period tagset consists 170 different tags (including ditto tags 3) average ambiguity 2.69 tags per wordform.	0
Nine combination methods originally suggested Van Halteren et al.	difficulty tagging task judged two baseline measurements Table 2 below, representing completely random choice potential tags token (Random) selection lexically likely tag (LexProb).	0
