"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	Decision Tree Bigrams Accurate Predictor Word Sense	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	paper presents corpus-based approach word sense disambiguation decision tree assigns sense ambiguous word based bigrams occur nearby.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	approach evaluated using sense-tagged corpora 1998 SENSEVAL word sense disambiguation exercise.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	accurate average results reported 30 36 words, accurate best results 19 36 words.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	Word sense disambiguation process selecting appropriate meaning word, based context occurs.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	purposes assumed set possible meanings, i.e., sense inventory, already determined.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	example, suppose bill following set possible meanings: piece currency, pending legislation, bird jaw.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	used context Senate bill consideration, human reader immediately understands bill used legislative sense.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	However, computer program attempting perform task faces diÆcult problem since bene?t innate common{sense linguistic knowledge.	0
"frustration models lack intuitive interpretation led development decision trees based bigram features (Pedersen, 2001a).</S><S sid =""132"" ssid = ""34"">This quite similar bagged decision trees bigrams (B) presented here, except ear­lier work learns single decision tree training examples represented top 100 ranked bi-grams, according log–likelihood ratio.</S><S sid =""133"" ssid = ""35"">This earlier approach evaluated SENSEVAL­1 data achieved overall accuracy 64%, whereas bagged decision tree presented achieves accuracy 68% data."	Rather attempting provide computer programs real{world knowledge comparable humans, natural language processing turned corpus{based methods.	0
